,BuildingType,ComplianceStatus,ENERGYSTARScore,Electricity(kBtu),LargestPropertyUseType,NaturalGas(kBtu),Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SourceEUI(kBtu/sf),SteamUse(kBtu),YearBuilt,TotalEmissionGES
0,NonResidential,Compliant,65.0,3686160.0,Hotel,1272388.0,DOWNTOWN,1.0,12.0,Hotel,88434,0,78.9,6981428.0,173.5,2023032.0,1927,249.43
1,NonResidential,Compliant,51.0,3905411.0,Hotel,4448985.0,DOWNTOWN,1.0,11.0,Hotel,88502,15064,94.4,8354235.0,191.3,0.0,1996,263.51
2,NonResidential,Compliant,18.0,49762435.0,Hotel,3709900.0,DOWNTOWN,1.0,41.0,Hotel,961990,0,96.6,73130656.0,242.7,19660404.0,1969,2061.48
3,NonResidential,Compliant,1.0,2769023.0,Hotel,2001894.0,DOWNTOWN,1.0,10.0,Hotel,61320,0,460.4,28229320.0,636.3,23458518.0,1926,1936.34
4,NonResidential,Compliant,67.0,6066245.0,Hotel,8763105.0,DOWNTOWN,1.0,18.0,Hotel,107430,12460,120.1,14829099.0,228.8,0.0,1980,507.7
5,Nonresidential COS,Compliant,,7271004.0,Police Station,4781283.0,DOWNTOWN,1.0,2.0,Other,60090,37198,135.7,12051984.0,313.5,0.0,1999,304.62
6,NonResidential,Compliant,25.0,2679698.0,Hotel,3573255.0,DOWNTOWN,1.0,11.0,Hotel,83008,0,76.9,6252842.0,149.5,0.0,1926,208.46
7,NonResidential,Compliant,,4108004.0,Other - Entertainment/Public Assembly,315079.0,DOWNTOWN,1.0,8.0,Other,102761,0,62.5,6426022.0,152.2,2003108.0,1926,199.99
8,NonResidential,Compliant,46.0,7355649.0,Hotel,5278400.0,DOWNTOWN,1.0,15.0,Hotel,163984,0,77.0,12633744.0,174.6,0.0,1904,331.61
9,Multifamily MR (5-9),Compliant,2.0,2370050.0,Multifamily Housing,733803.0,DOWNTOWN,1.0,6.0,Mid-Rise Multifamily,62216,1496,81.7,4587231.0,178.1,1483476.0,1910,170.0
10,NonResidential,Compliant,48.0,6337531.0,,4759044.0,DOWNTOWN,1.0,11.0,Hotel,133884,19279,101.1,14719853.0,200.8,3623542.0,1969,576.63
11,NonResidential,Compliant,32.0,19058722.0,Hotel,3232700.0,DOWNTOWN,1.0,25.0,Hotel,272015,61161,82.3,27717026.0,207.2,5426396.0,1998,723.4
